RA;ano_dados;fase;idade;genero;anos_ingresso;instituicao;pedra_atual;inde_atual;indicador_auto_avaliacao;indicador_engajamento;indicador_psicossocial;indicador_aprendizagem;indicador_ponto_virada;indicador_adequacao_nivel;indicador_psico_pedagogico;defasagem
715;2023;0;10;F;1;Pública;Quartzo;5,8915;0,0;9,5;3,14;5,4;7,675;5,0;5,625;-2
822;2023;0;11;M;1;Pública;Ágata;6,4497;8,5;8,4;2,52;7,1;5,925;5,0;5,625;-2
923;2023;0;8;F;0;Pública;Topázio;8,8842;9,5;9,9;7,52;7,3;10,01;10,0;7,5;0
742;2023;0;10;F;1;Pública;Ametista;7,024;0,0;7,6;7,52;7,5;10,01;5,0;7,5;-2
924;2023;0;8;M;0;Pública;Ágata;6,5207;9,0;5,6;7,52;5,0;5,93;10,0;5,625;0
925;2023;0;7;M;0;Pública;Ametista;7,1837;9,0;8,9;7,52;5,4;5,595;10,0;5,625;0
853;2023;0;9;F;1;Pública;Ametista;7,8402;10,0;9,5;3,77;7,4;9,84;5,0;6,25;-1
854;2023;0;8;F;1;Pública;Ágata;6,6415;0,0;9,5;3,77;6,0;8,01;10,0;5,625;0
700;2023;0;9;F;1;Pública;Topázio;8,2852;9,5;9,7;7,52;7,8;9,84;5,0;6,25;-1
701;2023;0;11;M;2;Pública;Ametista;7,3982;9,5;9,9;3,77;7,2;7,68;5,0;6,25;-2
856;2023;0;8;M;1;Pública;Ametista;7,3355;0,0;9,6;7,52;7,3;8,255;10,0;5,625;0
672;2023;0;10;F;2;Pública;Ágata;6,5623;7,9;9,5;2,52;6,4;6,43;5,0;5,625;-2
859;2023;0;8;F;1;Pública;Topázio;8,6042;8,0;9,2;7,52;7,3;10,01;10,0;7,5;0
704;2023;0;11;M;1;Pública;Ágata;6,8297;10,0;9,9;3,14;6,1;6,265;5,0;5,625;-2
741;2023;0;11;F;1;Pública;Ágata;6,2707;9,5;6,9;4,39;5,1;7,095;5,0;5,625;-2
719;2023;0;11;M;2;Pública;Ágata;6,4137;9,5;5,3;7,52;5,9;7,095;5,0;5,625;-2
926;2023;0;9;F;0;Pública;Ametista;7,7792;9,0;10,0;3,77;6,8;9,51;5,0;7,5;-1
927;2023;0;9;F;0;Pública;Ametista;7,5982;9,0;9,7;3,77;6,4;9,255;5,0;7,5;-1
928;2023;0;8;F;0;Pública;Topázio;9,3712;8,5;10,0;7,52;9,8;9,67;10,0;8,75;0
929;2023;0;8;F;0;Pública;Topázio;9,1312;8,5;9,8;7,52;8,8;9,67;10,0;8,75;0
930;2023;0;8;M;0;Pública;Topázio;8,8872;9,0;8,8;7,52;9,0;9,0;10,0;8,75;0
931;2023;0;8;M;0;Pública;Ametista;7,3747;8,5;8,2;2,52;7,8;7,6;10,0;5,625;0
932;2023;0;7;F;0;Pública;Topázio;8,3847;9,5;7,9;7,52;7,5;9,0;10,0;8,125;0
933;2023;0;8;F;0;Pública;Topázio;8,6712;9,0;8,4;7,52;7,7;9,67;10,0;8,75;0
934;2023;0;8;F;0;Pública;Topázio;9,1737;9,0;9,6;7,52;8,7;9,67;10,0;9,375;0
935;2023;0;9;M;0;Pública;Ametista;7,9535;0,0;9,8;7,52;9,4;9,67;5,0;9,375;-1
936;2023;0;8;F;0;Pública;Topázio;8,5477;9,0;10,0;7,52;6,5;8,915;10,0;8,125;0
937;2023;0;8;F;0;Pública;Topázio;9,3237;9,5;9,6;7,52;9,2;9,67;10,0;9,375;0
756;2023;0;10;M;1;Pública;Ametista;7,0927;10,0;8,7;7,52;6,1;6,59;5,0;5,625;-2
938;2023;0;9;M;0;Pública;Ágata;6,7372;8,5;8,4;7,52;4,2;7,5;5,0;6,25;-1
939;2023;0;11;F;0;Pública;Ametista;7,9742;9,0;10,0;7,52;5,4;10,01;5,0;7,5;-2
789;2023;0;8;F;1;Pública;Ametista;7,974;0,0;9,5;7,52;7,9;10,01;10,0;7,5;0
792;2023;0;10;F;1;Pública;Ametista;7,6267;9,0;7,7;7,52;7,2;9,085;5,0;6,875;-2
940;2023;0;11;M;0;Pública;Ágata;6,6112;9,0;8,4;2,52;6,3;7,02;5,0;6,25;-2
941;2023;0;8;F;0;Pública;Ametista;7,6872;8,0;10,0;7,52;5,0;8,175;10,0;5,0;0
942;2023;0;10;F;0;Pública;Ágata;6,8547;9,5;8,9;2,52;7,1;7,0;5,0;5,625;-2
943;2023;0;8;F;0;Pública;Topázio;8,9172;9,5;9,4;7,52;8,0;9,925;10,0;7,5;0
782;2023;0;9;M;1;Pública;Ametista;7,6812;8,5;9,8;2,52;7,5;9,345;5,0;7,5;-1
768;2023;0;11;F;2;Pública;Topázio;8,4042;10,0;9,1;7,52;7,9;10,01;5,0;7,5;-2
794;2023;0;9;F;1;Pública;Ametista;7,9842;9,0;9,2;7,52;6,2;10,01;5,0;7,5;-1
795;2023;0;9;F;1;Pública;Topázio;8,4642;9,0;9,6;7,52;8,2;10,01;5,0;7,5;-1
944;2023;0;9;F;0;Pública;Ametista;7,0687;9,0;7,6;7,52;7,5;6,67;5,0;5,625;-1
945;2023;0;8;M;0;Pública;Topázio;8,0777;8,5;9,2;7,52;7,9;6,84;10,0;6,875;0
946;2023;0;7;M;0;Pública;Topázio;8,5822;9,5;9,4;7,52;9,3;7,0;10,0;7,5;0
754;2023;0;10;M;1;Pública;Ágata;6,0537;9,5;6,1;2,52;5,6;6,67;5,0;6,875;-2
947;2023;0;8;M;0;Pública;Ágata;6,3457;9,0;7,9;7,52;3,3;5,08;10,0;4,375;0
948;2023;0;8;F;0;Pública;Ágata;6,5277;9,0;7,6;7,52;0,0;8,34;10,0;6,875;0
949;2023;0;8;F;0;Pública;Topázio;8,0172;9,5;8,1;7,52;8,9;6,5;10,0;6,25;0
950;2023;0;8;F;0;Pública;Topázio;8,8862;9,0;10,0;7,52;9,3;8,17;10,0;7,5;0
773;2023;0;9;F;1;Pública;Ágata;6,9287;10,0;7,5;2,52;7,9;7,67;5,0;5,625;-1
951;2023;0;7;F;0;Pública;Topázio;8,8902;9,5;9,7;7,52;8,4;9,09;10,0;7,5;0
769;2023;0;10;F;1;Pública;Ametista;7,85345;10,0;9,3;3,77;8,0;8,675;5,0;7,8125;-2
952;2023;0;8;M;0;Pública;Topázio;8,37095;9,5;9,2;3,77;9,0;8,425;10,0;7,1875;0
826;2023;0;9;M;1;Pública;Ametista;7,77645;10,0;10,0;3,77;7,3;8,34;5,0;7,8125;-1
953;2023;0;8;F;0;Pública;Ametista;7,54005;7,4;8,8;3,14;8,3;7,09;10,0;6,5625;0
954;2023;0;8;F;0;Pública;Ágata;6,82375;0,0;8,3;3,14;7,7;8,005;10,0;7,1875;0
780;2023;0;10;F;1;Pública;Ametista;7,7842;9,5;8,8;3,14;8,3;8,675;5,0;8,75;-2
955;2023;0;10;F;0;Pública;Ametista;7,1297;9,0;8,8;3,14;7,8;7,09;5,0;6,875;-2
831;2023;0;9;M;1;Pública;Ametista;7,71645;8,0;9,4;3,77;8,3;8,59;5,0;7,8125;-1
783;2023;0;9;M;2;Pública;Ametista;7,2922;9,5;6,8;3,77;8,9;7,925;5,0;7,5;-1
774;2023;0;9;F;1;Pública;Quartzo;5,852;0,0;9,5;3,14;6,9;6,34;5,0;5,0;-1
748;2023;0;10;M;1;Pública;Topázio;8,7142;9,5;9,7;7,52;9,1;10,01;5,0;7,5;-2
749;2023;0;9;M;1;Pública;Ametista;7,7597;10,0;9,0;7,52;7,3;8,425;5,0;5,625;-1
956;2023;0;11;M;0;Pública;Ametista;7,7312;8,0;7,5;7,52;7,8;9,345;5,0;7,5;-2
787;2023;0;9;M;1;Pública;Ametista;7,5227;9,0;9,8;7,52;5,9;8,34;5,0;5,625;-1
957;2023;0;8;F;0;Pública;Topázio;9,1672;10,0;9,3;7,52;9,1;9,925;10,0;7,5;0
753;2023;0;9;F;1;Pública;Topázio;8,6672;9,0;9,9;7,52;9,0;9,925;5,0;7,5;-1
958;2023;0;8;F;0;Pública;Topázio;9,2902;10,0;9,8;7,52;9,3;9,84;10,0;7,5;0
755;2023;0;9;M;1;Pública;Topázio;8,7442;10,0;9,5;7,52;9,2;10,01;5,0;7,5;-1
763;2023;0;10;F;2;Pública;Ágata;6,7215;0,0;9,2;3,14;7,9;9,0;5,0;6,875;-2
757;2023;0;10;F;1;Pública;Topázio;8,6742;9,0;9,6;7,52;9,3;10,01;5,0;7,5;-2
959;2023;0;8;M;0;Pública;Topázio;8,6677;10,0;9,6;7,52;7,7;8,84;10,0;6,875;0
960;2023;0;10;M;0;Pública;Ametista;7,0847;8,5;10,0;7,52;6,3;5,85;5,0;5,625;-2
961;2023;0;9;M;0;Pública;Quartzo;5,99625;0,0;8,7;2,52;6,2;8,665;5,0;5,3125;-1
962;2023;0;9;F;0;Pública;Topázio;8,4742;9,0;9,2;7,52;8,7;10,01;5,0;7,5;-1
805;2023;0;9;M;2;Pública;Ágata;6,492;0,0;9,1;7,52;6,8;7,175;5,0;6,25;-1
806;2023;0;9;M;1;Pública;Ametista;7,2937;8,5;8,3;6,27;7,8;7,095;5,0;6,875;-1
807;2023;0;9;M;1;Pública;Ametista;7,8632;9,5;9,1;7,52;8,0;8,08;5,0;6,25;-1
963;2023;0;9;F;0;Pública;Topázio;8,6142;9,5;9,8;7,52;8,5;10,01;5,0;7,5;-1
964;2023;0;9;M;0;Pública;Ametista;7,7997;8,5;9,4;7,52;7,2;8,5;5,0;6,875;-1
965;2023;0;9;F;0;Pública;Ágata;6,4832;8,5;8,2;6,27;4,7;7,18;5,0;5,0;-1
966;2023;0;9;M;0;Pública;Ametista;7,44345;10,0;10,0;7,52;5,0;7,675;5,0;6,5625;-1
967;2023;0;10;M;0;Pública;Ametista;7,1347;9,5;8,0;7,52;6,5;7,35;5,0;5,625;-2
968;2023;0;9;F;0;Pública;Topázio;8,4942;9,0;9,7;7,52;8,3;10,01;5,0;7,5;-1
812;2023;0;8;M;1;Pública;Topázio;8,0357;9,5;9,1;7,52;5,8;8,33;10,0;6,875;0
969;2023;0;8;M;0;Pública;Ametista;7,7692;8,5;9,7;7,52;5,5;7,51;10,0;6,25;0
970;2023;0;8;F;0;Pública;Topázio;8,9977;8,5;8,1;7,52;9,4;9,84;10,0;9,375;0
971;2023;0;8;M;0;Pública;Ametista;7,0169;7,8;6,4;3,77;6,9;8,17;10,0;5,625;0
972;2023;0;8;M;0;Pública;Ametista;7,5427;9,0;9,1;3,77;6,0;7,84;10,0;6,875;0
973;2023;0;9;M;0;Pública;Quartzo;5,82875;0,0;8,6;3,77;5,2;7,415;5,0;7,1875;-1
974;2023;0;7;M;0;Pública;Topázio;8,4752;9,0;9,1;3,77;8,8;9,34;10,0;7,5;0
975;2023;0;7;F;0;Pública;Ametista;7,7803;7,9;9,2;7,52;6,5;7,67;10,0;5,625;0
976;2023;0;8;M;0;Pública;Topázio;8,39895;9,5;9,2;6,27;8,6;8,34;10,0;5,9375;0
977;2023;0;7;F;0;Pública;Ametista;7,1717;8,5;7,4;5,02;5,8;8,085;10,0;5,625;0
978;2023;0;7;F;0;Pública;Topázio;8,3877;9,0;9,8;3,77;8,6;9,34;10,0;5,625;0
979;2023;0;8;M;0;Pública;Topázio;8,1617;9,5;9,6;6,27;6,0;9,51;10,0;5,625;0
980;2023;0;8;F;0;Pública;Ametista;7,1425;0,0;9,8;5,02;6,3;9,34;10,0;5,625;0
808;2023;0;9;M;1;Pública;Topázio;8,1932;10,0;10,0;2,52;8,7;9,755;5,0;7,5;-1
981;2023;0;7;F;0;Pública;Ametista;7,5367;9,5;9,1;2,52;5,8;9,01;10,0;5,625;0
982;2023;0;7;M;0;Pública;Ametista;7,1215;0,0;9,1;2,52;8,6;8,835;10,0;5,625;0
983;2023;0;8;M;0;Pública;Topázio;8,3502;8,5;9,9;2,52;8,8;9,415;10,0;6,25;0
984;2023;0;8;F;0;Pública;Topázio;8,8177;8,0;9,8;7,52;8,3;9,84;10,0;6,875;0
985;2023;0;8;M;0;Pública;Ametista;7,6247;9,0;9,3;2,52;6,8;8,5;10,0;5,625;0
986;2023;0;8;F;0;Pública;Topázio;8,0107;9,5;9,1;2,52;8,3;8,83;10,0;5,625;0
987;2023;0;8;M;0;Pública;Ametista;7,6765;0,0;9,8;6,27;7,3;9,76;10,0;6,875;0
988;2023;0;9;F;0;Pública;Ametista;7,9568;7,9;8,1;7,52;8,5;9,84;5,0;6,25;-1
989;2023;0;9;M;0;Pública;Ametista;7,7242;9,5;8,1;2,52;8,3;10,01;5,0;7,5;-1
677;2023;0;9;F;2;Pública;Topázio;8,5257;10,0;8,2;10,0;8,7;9,84;5,0;6,875;-1
990;2023;0;9;M;0;Pública;Ametista;7,254;0,0;8,5;7,52;7,8;10,01;5,0;7,5;-1
991;2023;0;9;F;0;Pública;Ametista;7,7687;10,0;9,1;3,14;7,7;9,585;5,0;6,875;-1
992;2023;0;10;M;0;Pública;Ametista;7,2722;9,5;8,2;3,14;8,0;8,84;5,0;5,0;-2
703;2023;0;11;M;2;Pública;Ágata;6,2737;9,5;8,4;3,14;4,6;6,16;5,0;6,875;-2
993;2023;0;8;F;0;Pública;Topázio;8,7592;9,5;9,8;3,77;8,6;10,01;10,0;7,5;0
674;2023;0;9;M;1;Pública;Ágata;6,6328;7,9;8,5;3,77;5,2;8,67;5,0;5,0;-1
994;2023;0;8;F;0;Pública;Ametista;7,4127;9,5;9,4;3,77;6,0;7,265;10,0;5,625;0
995;2023;0;11;F;0;Pública;Ágata;6,4782;9,5;7,9;3,77;5,1;7,18;5,0;6,25;-2
996;2023;0;9;M;0;Pública;Topázio;8,1892;10,0;9,2;3,77;8,6;10,01;5,0;7,5;-1
997;2023;0;8;M;0;Pública;Ametista;7,5687;7,5;8,7;3,77;7,1;8,595;10,0;5,625;0
998;2023;0;11;F;0;Pública;Ametista;7,9752;9,5;9,3;3,77;7,9;9,84;5,0;7,5;-2
999;2023;0;9;M;0;Pública;Topázio;8,0352;9,0;9,4;3,77;8,3;9,84;5,0;7,5;-1
750;2023;0;11;M;4;Pública;Quartzo;5,6857;9,5;7,7;3,14;3,4;6,32;5,0;4,375;-2
770;2023;0;8;M;1;Pública;Ágata;6,6785;0,0;8,3;3,77;5,9;8,92;10,0;6,875;0
771;2023;0;7;F;1;Pública;Ametista;7,056;0,0;8,8;3,14;8,2;8,585;10,0;6,25;0
1000;2023;0;8;F;0;Pública;Ametista;7,9162;8,5;9,4;3,77;7,0;8,92;10,0;6,25;0
830;2023;0;9;F;1;Pública;Ágata;6,78;0,0;8,9;3,14;8,3;9,505;5,0;6,25;-1
1001;2023;0;9;F;0;Pública;Topázio;8,1162;9,0;9,1;7,52;7,8;9,17;5,0;7,5;-1
1002;2023;0;9;F;0;Pública;Ametista;7,9012;9,0;9,7;7,52;7,0;8,92;5,0;6,25;-1
1003;2023;0;8;M;0;Pública;Ametista;7,6522;9,0;8,5;7,52;4,0;8,75;10,0;7,5;0
835;2023;0;8;M;1;Pública;Topázio;8,2467;8,0;8,5;7,52;8,7;7,835;10,0;6,875;0
1004;2023;0;8;F;0;Pública;Topázio;8,3137;9,0;9,6;7,52;7,9;7,42;10,0;6,875;0
1005;2023;0;8;M;0;Pública;Topázio;8,4252;9,5;7,9;7,52;8,8;8,165;10,0;7,5;0
1006;2023;0;8;F;0;Pública;Topázio;8,5922;9,0;9,3;7,52;8,7;8,0;10,0;7,5;0
705;2023;0;10;M;1;Pública;Ágata;6,982;0,0;8,3;6,89;8,8;8,165;5,0;7,5;-2
1007;2023;0;8;M;0;Pública;Topázio;8,0782;9,0;7,4;7,52;8,3;7,68;10,0;7,5;0
1008;2023;0;8;M;0;Pública;Topázio;8,13595;9,0;8,6;7,52;8,4;7,5;10,0;5,9375;0
729;2023;0;9;F;1;Pública;Ametista;7,26545;8,0;9,1;3,77;8,6;7,01;5,0;6,5625;-1
1009;2023;0;8;M;0;Pública;Ametista;7,245;0,0;9,0;3,77;8,8;7,84;10,0;7,5;0
1010;2023;0;8;M;0;Pública;Topázio;8,70645;9,5;10,0;3,77;9,4;8,59;10,0;7,8125;0
1011;2023;0;7;M;0;Pública;Ametista;7,33095;9,5;8,6;3,77;5,2;7,675;10,0;7,1875;0
1012;2023;0;8;F;0;Pública;Ametista;7,96495;10,0;9,9;3,77;6,6;7,845;10,0;7,1875;0
1013;2023;0;7;M;0;Pública;Ametista;7,6237;9,0;9,6;4,39;8,3;5,76;10,0;5,625;0
1014;2023;0;7;F;0;Pública;Topázio;8,2582;9,0;9,7;3,77;8,2;8,255;10,0;7,5;0
1015;2023;1;10;F;0;Pública;Ametista;7,538908333;10,0;9,3;6,27;6,3;7,786666667;5,0;7,34375;-1
734;2023;1;11;F;1;Pública;Ametista;7,305908333;8,5;8,0;7,52;6,9;7,446666667;5,0;7,34375;-1
687;2023;1;10;M;1;Pública;Ametista;7,617533333;8,0;9,0;7,52;6,9;8,226666667;5,0;7,5;-1
1016;2023;1;10;F;0;Pública;Ametista;7,762575;10,0;9,5;7,52;6,7;7,73;5,0;7,34375;-1
1017;2023;1;11;M;0;Pública;Ágata;6,505333333;0,0;8,0;5,02;7,7;8,116666667;5,0;7,5;-1
688;2023;1;10;M;1;Pública;Topázio;8,0442;8,5;9,3;7,52;8,6;8,06;5,0;7,5;-1
1018;2023;1;9;M;0;Pública;Ágata;6,824;0,0;8,5;5,02;6,3;8,06;10,0;7,5;0
696;2023;1;9;F;2;Pública;Ametista;7,172666667;0,0;9,4;5,02;6,7;8,503333333;10,0;7,5;0
1019;2023;1;8;F;0;Pública;Ametista;7,177033333;7,5;9,1;5,02;4,3;7,836666667;10,0;6,875;1
514;2023;1;10;F;1;Pública;Quartzo;5,823133333;7,9;7,5;2,52;5,5;5,896666667;5,0;5,0;-1
1020;2023;1;9;F;0;Pública;Ametista;7,612283333;10,0;9,1;2,52;6,1;8,056666667;10,0;7,1875;0
1021;2023;1;9;M;0;Pública;Ágata;6,964616667;8,0;9,2;3,77;3,3;7,893333333;10,0;7,1875;0
1022;2023;1;9;M;0;Pública;Ametista;7,164616667;8,5;8,5;3,77;4,7;7,893333333;10,0;7,1875;0
1023;2023;1;9;F;0;Pública;Topázio;9,1342;10,0;10,0;6,27;9,1;9,06;10,0;8,75;0
699;2023;1;10;M;1;Pública;Ágata;6,389991667;8,5;8,3;3,77;6,0;6,173333333;5,0;5,78125;-1
480;2023;1;11;F;2;Pública;Topázio;8,226408333;10,0;9,7;7,52;7,9;8,336666667;5,0;7,96875;-1
678;2023;1;10;M;1;Pública;Ametista;7,570158333;8,0;8,8;6,27;7,3;8,336666667;5,0;7,65625;-1
1024;2023;1;10;F;0;Pública;Ametista;7,788875;0,0;10,0;6,27;9,8;8,95;5,0;9,21875;-1
502;2023;1;9;F;2;Bolsista;Topázio;8,749075;8,5;9,8;7,52;8,0;8,95;10,0;7,96875;0
1025;2023;1;9;M;0;Pública;Topázio;8,215158333;8,5;8,9;7,52;7,5;7,836666667;10,0;7,65625;0
680;2023;1;11;F;4;Pública;Ágata;6,5855;0,0;9,1;7,52;6,4;7,78;5,0;6,875;-1
1026;2023;1;14;F;0;Pública;Ágata;6,494825;8,5;9,8;7,52;3,2;7,06;2,5;6,40625;-3
698;2023;1;9;M;2;Pública;Ametista;7,553616667;8,5;9,9;2,52;5,7;8,113333333;10,0;7,1875;0
533;2023;1;11;M;1;Pública;Ametista;7,434866667;9,0;9,3;7,52;5,8;7,613333333;5,0;7,5;-1
504;2023;1;9;F;2;Pública;Topázio;8,299533333;8,0;8,3;7,52;7,9;8,836666667;10,0;7,5;0
1027;2023;1;10;F;0;Pública;Ametista;7,748866667;9,5;9,7;7,52;6,0;8,333333333;5,0;7,5;-1
529;2023;1;13;M;3;Pública;Ametista;7,278991667;8,0;9,6;7,52;6,8;6,893333333;5,0;5,78125;-2
1028;2023;1;11;M;0;Pública;Ágata;6,415708333;0,0;9,2;7,52;5,0;7,946666667;5,0;7,34375;-1
686;2023;1;10;F;1;Pública;Ametista;7,9642;8,5;9,0;7,52;8,0;8,56;5,0;7,5;-1
1029;2023;1;9;F;0;Pública;Ametista;7,058533333;10,0;6,3;3,77;5,4;8,006666667;10,0;7,5;0
1030;2023;1;11;M;0;Pública;Ametista;7,4027;8,5;9,7;3,77;6,9;8,39;5,0;6,875;-1
522;2023;1;10;M;2;Pública;Ametista;7,890533333;7,5;9,2;7,52;8,3;8,45;5,0;7,083333333;-1
501;2023;1;10;M;2;Pública;Topázio;8,1357;7,0;8,4;7,52;8,9;9,396666667;5,0;8,541666667;-1
692;2023;1;10;F;2;Privada;Ágata;6,588466667;7,4;7,7;7,52;4,6;7,39;5,0;6,666666667;-1
527;2023;1;10;F;1;Pública;Ametista;7,5682;9,0;9,1;7,52;6,5;7,78;5,0;7,5;-1
1031;2023;1;10;M;0;Pública;Ametista;7,0602;8,0;8,8;7,52;5,9;7,006666667;5,0;6,666666667;-1
1032;2023;1;10;M;0;Pública;Ametista;7,434033333;8,5;9,5;7,52;6,0;7,563333333;5,0;7,291666667;-1
1033;2023;1;11;F;0;Pública;Topázio;8,126033333;9,0;8,9;7,52;7,9;9,006666667;5,0;8,125;-1
1034;2023;1;10;M;0;Pública;Ametista;7,9642;7,5;9,0;7,52;8,3;8,393333333;5,0;8,333333333;-1
1035;2023;1;9;M;0;Pública;Ágata;6,888833333;0,0;8,3;7,52;5,8;7,78;10,0;7,708333333;0
730;2023;1;10;F;2;Privada;Ametista;7,979325;10,0;8,7;5,02;7,8;8,67;5,0;9,53125;-1
855;2023;1;9;F;1;Pública;Topázio;8,62995;9,5;10,0;7,52;6,8;8,67;10,0;8,4375;0
820;2023;1;10;M;1;Pública;Ametista;7,85605;7,9;7,4;7,52;8,9;8,28;5,0;9,0625;-1
738;2023;1;9;F;1;Pública;Topázio;8,123283333;8,0;9,3;7,52;6,0;8,336666667;10,0;8,4375;0
1036;2023;1;11;F;0;Pública;Ágata;6,970583333;0,0;9,6;3,77;8,0;8,336666667;5,0;9,0625;-1
1037;2023;1;10;M;0;Pública;Ametista;7,655575;9,0;8,4;7,52;6,7;8,17;5,0;8,59375;-1
576;2023;1;11;F;1;Pública;Ametista;7,984741667;9,0;9,3;5,02;8,0;8,503333333;5,0;9,21875;-1
1038;2023;1;10;F;0;Privada;Ametista;7,736825;8,0;9,3;7,52;6,5;8,17;5,0;8,90625;-1
1039;2023;1;12;M;0;Pública;Ametista;7,686033333;8,0;9,9;7,52;6,2;8,056666667;5,0;8,125;-2
1040;2023;1;11;M;0;Pública;Ametista;7,81545;10,0;9,3;7,52;6,6;8,06;5,0;7,8125;-1
1041;2023;1;10;F;0;Pública;Ágata;6,724116667;10,0;7,2;7,52;3,3;8,003333333;5,0;7,8125;-1
733;2023;1;9;F;1;Pública;Topázio;8,3342;10,0;8,7;7,52;6,2;8,893333333;10,0;8,333333333;0
837;2023;1;9;M;1;Pública;Topázio;8,2712;9,0;9,3;7,52;7,0;7,836666667;10,0;7,916666667;0
519;2023;1;10;M;1;Pública;Topázio;8,0177;9,0;9,9;7,52;7,4;8,223333333;5,0;7,708333333;-1
521;2023;1;10;M;1;Pública;Ágata;6,768666667;0,0;9,9;3,77;7,9;8,166666667;5,0;7,083333333;-1
1042;2023;1;10;M;0;Pública;Quartzo;5,331166667;0,0;6,5;3,77;4,3;7,666666667;5,0;7,708333333;-1
713;2023;1;10;M;2;Pública;Ametista;7,408033333;8,0;9,6;3,77;7,5;8,166666667;5,0;6,875;-1
736;2023;1;10;M;1;Pública;Ametista;7,600033333;8,5;9,5;6,27;6,7;8,11;5,0;7,708333333;-1
1043;2023;1;10;M;0;Pública;Ágata;6,5447;10,0;7,9;6,27;2,5;7,833333333;5,0;7,708333333;-1
716;2023;1;10;M;1;Pública;Ágata;6,813366667;9,0;8,7;3,77;5,6;7,443333333;5,0;6,875;-1
1044;2023;1;10;F;0;Pública;Ametista;7,629533333;8,0;9,7;7,52;6,1;8,336666667;5,0;7,5;-1
745;2023;1;10;M;2;Bolsista;Ametista;7,668366667;9,5;9,3;3,77;7,0;8,893333333;5,0;8,125;-1
717;2023;1;11;F;2;Pública;Ágata;6,633833333;0,0;8,5;7,52;5,9;8,446666667;5,0;8,125;-1
718;2023;1;9;F;1;Pública;Topázio;8,166866667;9,5;9,1;3,77;7,8;8,39;10,0;7,916666667;0
721;2023;1;9;F;2;Pública;Topázio;8,683366667;8,5;9,5;7,52;8,4;8,443333333;10,0;8,125;0
746;2023;1;9;M;1;Pública;Ágata;6,517166667;0,0;8,0;3,77;7,2;7,113333333;10,0;6,875;0
1045;2023;1;11;F;0;Pública;Topázio;8,089033333;9,5;9,4;7,52;7,9;8,28;5,0;7,708333333;-1
483;2023;1;12;F;4;Pública;Ágata;6,3972;9,0;6,0;2,52;5,6;8,166666667;5,0;7,916666667;-2
1046;2023;1;9;M;0;Pública;Ágata;6,835833333;0,0;8,5;3,77;6,3;8,223333333;10,0;8,541666667;0
1047;2023;1;9;M;0;Pública;Ametista;7,848366667;10,0;8,5;3,77;6,9;7,893333333;10,0;8,125;0
570;2023;1;11;F;4;Pública;Ágata;6,781033333;8,5;7,3;3,77;5,9;8,056666667;5,0;8,125;-1
1048;2023;1;10;F;0;Privada;Ametista;7,811366667;8,5;9,5;3,77;8,2;8,5;5,0;8,541666667;-1
1049;2023;1;10;M;0;Pública;Ametista;7,443366667;10,0;7,7;7,52;6,3;7,943333333;5,0;8,125;-1
1050;2023;1;11;M;0;Pública;Ametista;7,764366667;9,0;9,2;6,27;7,2;8,223333333;5,0;8,125;-1
1051;2023;1;9;F;0;Pública;Topázio;8,534866667;8,5;8,9;6,27;8,4;8,613333333;10,0;8,75;0
707;2023;1;11;F;3;Pública;Ágata;6,518;0,0;9,8;3,77;6,5;7,946666667;5,0;7,916666667;-1
1052;2023;1;9;M;0;Pública;Ágata;6,960333333;0,0;9,0;7,52;5,3;7,833333333;10,0;7,916666667;0
580;2023;1;11;F;3;Pública;Topázio;8,4712;8,5;9,8;7,52;9,0;8,67;5,0;8,75;-1
581;2023;1;11;M;4;Pública;Ametista;7,7167;8,0;9,8;7,52;7,9;7,393333333;5,0;6,458333333;-1
735;2023;1;11;F;2;Pública;Ametista;7,184;0,0;9,0;7,52;8,1;8,393333333;5,0;8,333333333;-1
710;2023;1;11;M;3;Pública;Ametista;7,0582;9,5;9,0;3,77;6,5;7,113333333;5,0;7,083333333;-1
712;2023;1;12;M;4;Pública;Ágata;6,331533333;9,5;5,6;3,14;6,7;6,836666667;5,0;7,5;-2
549;2023;1;11;M;2;Pública;Ametista;7,0297;9,5;8,1;5,02;6,4;7,5;5,0;6,875;-1
679;2023;1;11;M;3;Pública;Ágata;6,138366667;7,5;7,5;5,02;3,6;7,393333333;5,0;6,875;-1
571;2023;1;12;F;4;Privada;Ágata;6,6097;9,0;7,9;3,77;5,0;7,616666667;5,0;7,291666667;-2
714;2023;1;12;M;4;Pública;Ágata;6,078666667;0,0;8,0;3,14;7,4;7,223333333;5,0;7,5;-2
737;2023;1;9;F;1;Pública;Topázio;8,048033333;9,5;7,8;7,52;7,5;7,783333333;10,0;7,291666667;0
577;2023;1;11;F;1;Pública;Ametista;7,219366667;10,0;8,2;3,77;7,4;7,673333333;5,0;6,875;-1
1053;2023;1;9;M;0;Pública;Ametista;7,776166667;0,0;9,1;6,27;8,6;8,616666667;10,0;8,958333333;0
731;2023;1;11;F;4;Pública;Ágata;6,7742;8,5;7,6;3,14;6,8;7,45;5,0;7,5;-1
552;2023;1;12;M;1;Pública;Quartzo;5,248666667;0,0;5,6;3,14;6,4;6,89;5,0;6,666666667;-2
1054;2023;1;12;M;0;Pública;Ametista;7,459533333;8,5;8,6;7,52;6,6;7,836666667;5,0;7,5;-2
